CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,FEEDBACK,FT02_01,VOCAB,OA2,OA4,RA2,PA1,RA1,RC1,PA3,PRIV1,IUT2,RA3,CTRL1,OA3,PA4,RC3,PRIV2,PA2,RC2,IUT1,PRIV3,OA1,IUT3,MARK1,MARK2,RISK,PAKNOW,RD01_CP,GROUP,RD02_CP,RD02,ATT_SC,mc1,MC2,TIME001,TIME002,TIME003,TIME004,TIME005,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME014,TIME015,TIME016,TIME017,TIME018,TIME021,TIME022,TIME_SUM,MAILSENT,LASTDATA,STATUS,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI
192,,,affective_grid,interview,5/13/26 13:14,,MiriamTest,1,5,5,5,5,4,4,4,4,5,3,2,3,3,3,3,3,5,4,5,4,4,1,1,3,2,0,4,0,3,1,6,5,6,2,1,1,3,2,2,2,2,1,2,3,4,4,2,4,4,2,47,,5/13/26 13:15,,1,0,22,22,3,1,2.92
193,,,affective_grid,interview,5/13/26 13:21,,5c3a4e759e794d000129a225,1,2,6,6,6,6,5,2,6,4,6,2,6,5,6,6,5,2,5,2,6,5,2,6,4,1,0,6,0,4,1,6,2,4,2,2,30,110,6,5,8,11,10,5,19,32,14,15,25,15,2,315,,5/13/26 13:26,,1,0,22,22,3,1,1.92
194,,,affective_grid,interview,5/13/26 13:21,,55ecd6ff748092000daa9f5f,1,6,3,5,6,5,6,5,5,6,6,2,3,6,7,4,6,,,,,,6,5,4,2,0,5,0,5,1,7,6,5,18,13,52,100,5,7,5,14,36,21,15,23,14,13,,12,2,355,,5/13/26 13:27,,1,0,22,22,4,1,1.53
195,,,affective_grid,interview,5/13/26 13:21,,664b8bef90cdb799d4c4c35d,1,4,5,6,5,7,6,3,4,6,6,2,7,4,6,5,4,6,6,7,6,7,5,5,5,1,0,3,1,4,1,6,6,8,14,52,48,132,5,7,29,8,18,4,15,13,8,10,11,14,7,403,,5/13/26 13:28,,1,0,22,22,3,1,1.57
196,,,affective_grid,interview,5/13/26 13:21,,6a03322d84fdeca625f08127,1,5,6,6,6,6,5,5,5,6,5,2,5,7,5,5,7,5,5,6,5,4,5,2,7,2,0,2,0,6,1,6,3,7,2,4,45,37,9,2,13,7,12,7,12,13,12,16,78,18,1,295,,5/13/26 13:26,,1,0,22,22,3,1,1.91
197,,,affective_grid,interview,5/13/26 13:21,none,5d1b3627b6a81c0001f87c85,1,5,6,5,5,6,5,5,5,5,5,2,5,5,6,6,5,5,5,5,5,6,5,5,6,1,0,1,0,1,1,5,6,3,3,8,6,24,4,15,16,5,7,4,10,14,8,8,13,16,203,172,,5/13/26 13:27,,1,0,22,22,0,0,2.22
198,,,affective_grid,interview,5/13/26 13:21,,602539c6fe366c0008c815cb,1,2,6,4,2,6,5,5,7,2,5,2,5,6,6,7,5,5,2,1,5,2,1,1,9,2,1,3,1,6,1,6,5,8,2,27,114,121,12,15,70,20,42,9,25,27,20,30,42,24,2,610,,5/13/26 13:31,,1,0,22,22,3,1,1.06
199,,,affective_grid,interview,5/13/26 13:21,,69f480feab0be3632a2bea9b,1,6,6,6,4,6,7,4,5,6,2,2,3,6,6,6,6,5,6,2,6,6,7,4,9,2,1,5,0,2,1,6,6,8,4,4,107,70,6,14,8,9,19,6,17,21,23,16,20,20,1,373,,5/13/26 13:28,,1,0,22,22,3,1,1.57
200,,,affective_grid,interview,5/13/26 13:21,n/a,69dbc5a35ef47c98ef3af53b,1,4,6,5,2,6,5,5,6,2,6,2,4,6,5,6,5,5,2,6,5,2,3,2,7,1,1,2,3,2,1,5,1,21,120,23,120,428,10,18,21,6,29,8,29,24,24,17,14,30,8,836,,5/13/26 13:37,,1,0,22,22,0,0,0.96
201,,,affective_grid,interview,5/13/26 13:22,,69ac26daec36f17c92a64677,1,6,6,5,5,6,6,3,6,2,6,2,6,6,5,6,6,,,,,,6,5,7,1,1,4,2,5,1,6,2,6,13,10,341,87,7,5,13,8,25,51,10,13,11,18,,21,5,644,,5/13/26 13:32,,1,0,22,22,4,1,1.43
202,,,affective_grid,interview,5/13/26 13:22,,69ae945041f7aa63329ba050,1,6,6,5,2,5,6,2,5,2,5,2,6,2,5,6,6,3,2,2,6,2,4,4,5,3,3,6,1,2,1,7,1,172,4,6,14,37,10,6,34,66,9,9,26,21,24,28,27,57,11,398,,5/13/26 13:31,,1,0,22,22,3,1,1.31
203,,,affective_grid,interview,5/13/26 13:22,it was interesting thanks so much,60ccbffae161aadb1880ad6c,1,6,5,5,3,6,6,3,5,1,6,2,3,5,6,6,6,2,2,2,5,2,6,6,9,3,1,6,2,2,1,6,1,10,3,37,125,98,21,12,69,29,21,21,33,36,94,37,43,68,7,764,,5/13/26 13:34,,1,0,22,22,0,0,0.73
204,,,affective_grid,interview,5/13/26 13:22,I think a more detailed  summary of the people management system may have been appropriate,59a3b1a35fd74b0001abf9c1,1,6,6,5,3,6,7,6,5,5,5,2,6,6,4,5,6,5,5,5,4,5,7,7,3,2,1,1,1,1,1,5,6,6,14,18,8,108,7,40,21,8,13,6,21,22,15,22,22,17,46,414,,5/13/26 13:29,,1,0,22,22,0,0,1.25
205,,,affective_grid,interview,5/13/26 13:22,,69790d6848f698cd8f17b99b,1,4,4,4,4,5,6,6,4,4,4,2,4,5,4,4,5,5,4,4,5,4,6,6,6,3,2,1,3,6,1,5,6,18,98,58,81,88,8,91,74,13,258,5,10,28,85,15,18,160,5,569,,5/13/26 13:40,,1,0,22,22,3,1,0.89
206,,,affective_grid,interview,5/13/26 13:22,"The survey provided valuable insights into how Dashboard metrics might be influenced by extensive use of AI. However, I believe that with the integration of AI, we can enhance productivity significantly by combining it with human insight and oversight.",69d07eb4a6ddc1f57e9b7e79,1,7,7,6,6,6,7,5,7,6,4,2,3,6,6,6,7,5,6,2,7,5,6,4,9,3,2,5,2,3,1,6,5,10,1,27,11,422,77,13,26,30,13,73,52,32,58,30,44,27,118,824,,5/13/26 13:40,,1,0,22,22,0,0,0.89
207,,,affective_grid,interview,5/13/26 13:22,,69e4620e3a2714f4fba8d94b,1,7,7,4,6,2,3,1,6,6,6,2,7,7,7,6,4,,,,,,6,4,6,3,2,4,1,5,1,7,6,27,7,8,85,123,36,8,24,22,22,7,20,68,42,220,,26,4,556,,5/13/26 13:34,,1,0,22,22,4,1,0.93
208,,,affective_grid,interview,5/13/26 13:22,,60662064c4e2b814215e6890,1,6,6,5,6,6,6,6,6,4,6,2,2,6,4,6,6,5,4,1,5,4,4,1,6,2,2,3,2,6,1,6,6,8,84,44,123,127,13,38,40,22,53,10,72,126,28,130,44,41,7,932,,5/13/26 13:39,,1,0,22,22,3,1,0.59
209,,,affective_grid,interview,5/13/26 13:22,Thank you,69309f7da595fb656eebdeb1,1,7,7,5,5,5,4,3,4,4,5,2,6,6,4,6,5,2,2,2,7,3,6,6,2,2,2,2,1,3,1,6,1,27,5,22,47,75,10,12,33,17,31,11,24,24,21,27,25,27,12,450,,5/13/26 13:30,,1,0,22,22,0,0,0.94
210,,,affective_grid,interview,5/13/26 13:22,n/a,69de3977bd460340bd46fede,1,5,6,5,6,2,6,2,5,5,3,2,3,6,5,5,5,4,4,5,5,4,6,7,8,3,2,6,2,1,1,5,3,12,5,24,63,106,11,5,107,18,34,9,23,22,35,28,34,21,9,566,,5/13/26 13:32,,1,0,22,22,0,0,0.96
211,,,affective_grid,interview,5/13/26 13:22,,69dcdb3c0b8cd1577f63db4b,1,7,6,5,6,6,5,6,6,7,6,2,2,3,7,7,7,7,6,7,6,7,5,5,7,1,3,2,3,1,1,7,2,23,10,35,268,153,14,37,124,18,99,34,27,26,32,19,25,63,8,1015,,5/13/26 13:39,,1,0,22,22,3,1,0.63
212,,,affective_grid,interview,5/13/26 13:23,,69f349141b7a57cdd52b671c,1,6,6,5,5,6,5,5,5,3,6,2,6,5,4,5,5,,,,,,4,3,8,2,3,1,3,5,1,5,5,13,43,5,186,146,25,37,62,19,161,31,25,76,33,34,,18,5,777,,5/13/26 13:38,,1,0,22,22,4,1,0.76
213,,,affective_grid,interview,5/13/26 13:23,I make my team members happy always and I take responsibility to check all products that  team members makes.,69d95796f2b81985559b4b59,1,6,7,2,7,7,6,6,7,6,6,2,3,7,6,6,7,7,7,7,6,6,7,7,1,3,3,3,2,4,1,6,3,50,19,11,50,222,48,32,21,21,14,24,50,40,56,43,107,57,127,873,,5/13/26 13:39,,1,0,22,22,0,0,0.6
214,,,affective_grid,interview,5/13/26 13:26,,69e5047b25806886f27a0077,1,6,6,6,6,4,6,6,6,6,3,2,5,6,6,6,6,6,6,5,6,6,6,5,9,2,3,5,9,2,1,6,6,32,51,260,203,227,47,7,32,31,31,7,11,22,68,44,37,39,11,919,,5/13/26 13:45,,1,0,22,22,3,1,0.69
215,,,affective_grid,interview,5/13/26 13:36,,69fa151e7192f3ec23315d35,1,6,5,6,6,6,7,5,6,5,5,2,3,5,6,6,5,5,6,5,5,6,6,5,8,1,4,3,3,4,1,5,5,13,3,3,5,22,6,2,9,4,5,4,5,6,6,5,9,12,2,121,,5/13/26 13:38,,1,0,22,22,3,1,2.64
216,,,affective_grid,interview,5/13/26 13:36,,5c0a29b6c307a400016adb9f,1,2,7,4,2,5,6,2,3,1,5,2,6,3,2,4,5,1,1,2,3,1,7,7,5,3,3,4,7,3,1,7,1,5,50,20,53,89,8,11,25,12,18,5,16,16,15,17,16,19,2,397,,5/13/26 13:43,,1,0,22,22,3,1,1.37
217,,,affective_grid,interview,5/13/26 13:36,,69f32ec16be4981af2e1ce1b,1,6,2,5,2,6,6,2,6,1,6,2,2,6,6,6,6,2,2,2,2,2,6,6,5,3,4,2,8,2,1,4,1,9,5,8,150,42,23,11,14,8,19,6,15,23,24,23,24,22,2,428,,5/13/26 13:43,,1,0,22,22,3,1,1.39
218,,,affective_grid,interview,5/13/26 13:36,,6658dc77e4e49937196d37b7,1,7,5,6,5,6,6,5,2,6,6,2,5,6,7,3,7,5,6,5,5,6,6,4,7,1,4,1,4,3,1,7,7,4,5,3,49,47,10,19,28,10,25,5,13,11,14,33,15,22,83,321,,5/13/26 13:43,,1,0,22,22,3,1,1.44
219,,,affective_grid,interview,5/13/26 13:36,"The manager should have known that AI makes mistakes. There were conflicting bullet points in the report that should have been further investigated, one indicated that employees were more active when working from home, but more effective in a hybrid work. These types of data points are interesting for further examination, but are not helpful standalone. ",69dce9d5d84099b58bd035b3,1,2,7,6,6,6,2,6,4,3,6,2,3,3,6,3,5,1,5,4,6,5,7,4,9,2,4,4,9,1,1,7,2,6,9,25,49,102,11,9,74,8,21,9,28,20,20,20,28,31,236,478,,5/13/26 13:48,,1,0,22,22,0,0,0.99
220,,,affective_grid,interview,5/13/26 13:36,"There was a lot of information to digest on the images, when the focus is on the AI summary and the output.",6a0423947bc255fede34ea61,1,7,7,7,3,7,6,3,5,1,6,2,7,3,3,7,7,,,,,,7,5,7,3,4,6,6,5,1,3,6,5,5,5,109,59,15,8,9,16,13,5,16,25,21,33,,20,57,421,,5/13/26 13:43,,1,0,22,22,0,0,1.35
221,,,affective_grid,interview,5/13/26 13:36,,69f47d32f5266919ffefbcde,1,6,2,3,3,4,4,5,5,2,2,2,2,3,4,5,3,3,2,2,3,3,7,2,8,3,5,3,18,4,1,3,4,11,6,17,168,186,12,7,65,16,16,7,23,25,16,19,44,22,4,664,,5/13/26 13:47,,1,0,22,22,3,1,1.05
223,,,affective_grid,interview,5/13/26 13:36,Great study ,69eb6dd55036801e44c9605a,1,6,7,6,4,6,7,3,5,6,6,2,6,6,7,5,6,7,7,2,6,7,6,5,8,2,4,5,32,6,1,7,6,7,25,189,163,306,13,14,40,88,30,10,62,72,33,43,53,28,18,950,,5/13/26 13:56,,1,0,22,22,0,0,0.57
224,,,affective_grid,interview,5/13/26 13:36,Nothing ,69d7da2dc4b14952e9acb3f8,1,5,5,6,6,6,6,6,6,5,6,2,5,6,5,6,5,5,5,3,5,7,5,7,11,3,5,1,12,3,1,6,5,13,12,90,35,81,25,19,51,27,22,33,39,22,72,36,48,31,8,664,,5/13/26 13:47,,1,0,22,22,0,0,0.71
225,,,affective_grid,interview,5/13/26 13:36,,'0706141334088,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,,2,,,20,6,25,10,89,,,,,,,,,,,,,,150,,5/13/26 13:39,,1,0,5,5,0,0,1.27
226,,,affective_grid,interview,5/13/26 13:37,N/A,69d868e4c6f3897a2dd08221,1,7,4,6,4,6,7,4,6,6,6,2,4,7,5,5,6,,,,,,3,4,8,3,9,5,18,5,1,3,6,48,6,28,118,174,19,14,64,22,19,9,55,51,32,38,,40,14,751,,5/13/26 13:49,,1,0,22,22,0,0,0.64
227,,,affective_grid,interview,5/13/26 13:37,,69e784216d39620eb0a7508b,1,7,5,2,4,6,3,3,4,2,1,2,5,3,2,4,7,,,,,,6,4,9,2,5,6,13,5,1,7,2,9,16,8,51,81,160,17,12,10,41,6,44,27,13,19,,20,2,387,,5/13/26 13:45,,1,0,22,22,4,1,1.25
228,,,affective_grid,interview,5/13/26 13:37,Not only P.As should do the evaluation of stuff performance. Management should also have a look into it,69d7a0aed5c37739f0c2aa97,1,6,7,6,6,7,6,6,6,7,4,2,4,7,5,7,6,6,6,2,7,6,6,4,1,3,8,4,7,6,1,6,6,29,12,23,38,62,14,14,14,15,13,15,48,85,119,48,58,58,86,673,,5/13/26 13:49,,1,0,22,22,0,0,0.76
229,,,affective_grid,interview,5/13/26 13:37,,69e3eedba0acd04b28d3e391,1,6,4,5,6,4,6,5,6,5,6,2,3,5,4,7,6,4,5,7,5,5,6,5,5,1,5,4,20,6,1,6,5,4,4,4,127,276,11,16,44,19,33,13,32,41,29,35,35,37,9,769,,5/13/26 13:49,,1,0,22,22,3,1,0.95
230,,,affective_grid,interview,5/13/26 13:37,,672e182f4023d603c6df837b,1,5,5,4,4,5,4,5,4,5,5,2,5,5,5,6,6,,,,,,5,4,8,2,5,5,10,5,1,6,5,4,17,4,96,100,9,13,8,14,37,11,20,112,28,47,,19,3,542,,5/13/26 13:46,,1,0,22,22,4,1,1.26
231,,,affective_grid,interview,5/13/26 13:37,,680d155019b77b986ff85126,1,4,4,5,4,5,4,6,5,4,4,2,4,4,5,4,4,5,5,4,5,4,5,6,9,2,6,5,6,3,1,7,7,11,3,3,49,69,18,16,30,8,13,7,14,20,14,9,10,29,6,329,,5/13/26 13:42,,1,0,22,22,3,1,1.54
232,,,affective_grid,interview,5/13/26 13:37,,69d8bc776eafff26ad0bfdd4,1,6,7,6,7,7,6,6,6,6,6,2,5,5,7,6,5,5,6,5,6,4,6,7,8,2,5,2,19,2,1,2,5,5,11,39,277,78,22,13,32,18,23,8,22,13,26,22,15,28,5,657,,5/13/26 13:48,,1,0,22,22,3,1,1.04
233,,,affective_grid,interview,5/13/26 13:37,,6599bf63f1a902105cb4f395,1,5,5,4,5,6,6,4,3,4,4,2,3,4,5,4,5,4,4,5,5,4,6,6,5,2,6,6,23,6,1,5,2,8,84,3,2,267,10,44,16,114,61,10,25,23,39,41,24,23,5,621,,5/13/26 13:50,,1,0,22,22,3,1,1.05
234,,,affective_grid,interview,5/13/26 13:37,,63174af7d57182f9bf90c094,1,3,4,6,4,6,6,3,2,2,4,2,3,4,5,3,3,2,2,2,3,2,4,4,7,2,8,6,11,6,1,6,1,18,2,20,59,131,5,9,18,18,33,10,19,32,16,22,20,18,206,458,,5/13/26 13:48,,1,0,22,22,3,1,1.16
235,,,affective_grid,interview,5/13/26 13:37,,69e6cf1ede8e0538926f4467,1,2,7,7,7,7,7,5,7,2,7,2,7,7,1,7,7,,,,,,2,2,8,3,7,4,23,5,1,7,7,12,29,62,215,144,13,13,37,21,36,14,26,31,26,32,,42,3,756,,5/13/26 13:49,,1,0,22,22,4,1,0.77
236,,,affective_grid,interview,5/13/26 13:37,Thanks for the Opportunity ,60314f566c0b9306e3956ebc,1,6,7,6,5,2,5,6,6,6,1,2,7,7,6,7,5,7,7,1,6,7,2,3,9,1,6,3,7,1,1,7,7,4,2,2,77,97,7,5,12,10,8,7,52,19,21,28,30,13,10,404,,5/13/26 13:44,,1,0,22,22,0,0,1.59
237,,,affective_grid,interview,5/13/26 13:37,,6a015631967e3340c1616015,1,6,6,5,5,5,5,6,5,5,6,2,6,3,4,5,4,5,5,5,6,5,5,2,8,2,7,6,5,3,1,6,4,9,3,34,32,54,9,9,11,13,14,10,16,13,20,28,23,22,2,322,,5/13/26 13:42,,1,0,22,22,3,1,1.45
238,,,affective_grid,interview,5/13/26 13:37,,6a019c72fa5868e6fc32128c,1,6,7,6,3,6,6,2,2,6,5,2,6,7,7,7,7,6,6,5,6,6,7,7,11,1,7,3,3,3,1,6,7,7,5,3,3,25,5,5,9,5,9,3,15,14,17,9,12,12,1,159,,5/13/26 13:39,,1,0,22,22,3,1,2.32
239,,,affective_grid,interview,5/13/26 13:37,,5dd005a9eb39730fc834988f,1,,,,,5,5,3,3,1,5,2,5,1,5,1,1,1,1,4,6,3,,,,,6,2,10,2,1,7,1,3,4,28,48,59,6,5,120,6,10,5,,18,12,100,21,,,445,,5/13/26 13:44,,0,0,18,18,0,0,1.57
240,,,affective_grid,interview,5/13/26 13:37,,6a02ff38ba724d6d369e361e,1,5,6,6,2,6,5,2,5,5,5,2,6,2,4,5,6,3,5,2,6,5,3,4,8,2,9,6,5,6,1,4,1,20,3,4,12,66,14,10,10,15,15,10,23,26,19,30,37,30,4,348,,5/13/26 13:43,,1,0,22,22,3,1,1.4
241,,,affective_grid,interview,5/13/26 13:37,,69f8fb9d86f775d659ab36a6,1,3,3,4,5,3,5,5,3,5,2,2,5,3,4,6,5,4,5,2,5,6,6,5,6,2,6,1,4,2,1,5,5,5,1,3,19,28,11,5,6,6,12,5,14,15,24,17,34,23,8,236,,5/13/26 13:41,,1,0,22,22,3,1,1.92
242,,,affective_grid,interview,5/13/26 13:37,,62d6d7815de3a8625be3c0de,1,6,3,5,2,6,6,7,6,5,5,2,2,5,4,6,6,,,,,,7,5,7,2,7,2,5,5,1,6,2,5,2,3,23,94,6,7,7,7,14,9,139,21,20,269,,84,2,353,,5/13/26 13:49,,1,0,22,22,4,1,1.66
243,,,affective_grid,interview,5/13/26 13:37,,69fb66b5935b7e8a013a1aea,1,6,6,6,3,6,6,2,5,6,7,2,6,2,5,6,5,5,6,2,4,6,5,4,4,1,7,1,17,2,1,6,6,5,22,50,99,155,16,17,54,17,20,9,24,35,29,36,46,27,6,667,,5/13/26 13:48,,1,0,22,22,3,1,0.8
244,,,affective_grid,interview,5/13/26 13:37,Thank you. ,5996d2256b939900012d9f22,1,6,3,7,7,7,7,2,7,5,7,2,1,7,6,7,6,,,,,,7,7,9,3,7,5,4,5,1,6,7,3,2,3,19,33,4,6,7,6,8,3,14,19,14,22,,17,244,188,,5/13/26 13:44,,1,0,22,22,0,0,2.22
245,,,affective_grid,interview,5/13/26 13:37,Good luck in your research!,69dd3a1a30c38363fa3a3259,1,5,3,5,5,5,5,6,4,4,4,2,3,6,3,4,5,5,4,4,3,4,2,5,5,1,8,2,12,2,1,6,2,7,39,20,82,86,12,11,70,7,14,10,13,22,32,26,30,29,11,521,,5/13/26 13:46,,1,0,22,22,0,0,1
246,,,affective_grid,interview,5/13/26 13:37,,69ecd0345c6074d1899efcc8,1,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,,,3,,,8,4,8,4,216,,,,,,,,,,,,,,240,,5/13/26 13:41,,1,0,5,5,0,0,1.69
247,,,affective_grid,interview,5/13/26 13:37,It was an interesting Study.,66d4407f31981698998d25d8,1,6,7,6,6,5,7,2,6,7,6,2,6,5,7,7,3,7,7,2,5,7,7,6,11,3,8,3,26,4,1,7,6,9,128,61,114,236,13,18,53,23,26,6,22,35,53,49,43,38,30,835,,5/13/26 13:53,,1,0,22,22,0,0,0.63
248,,,affective_grid,interview,5/13/26 13:37,The survey was clear and easy to follow. ,69de1fc5cfa61b938d2a83ec,1,5,6,6,6,6,6,6,5,5,6,2,5,6,5,6,5,6,5,6,6,5,7,6,6,3,9,3,28,6,1,6,6,14,33,86,128,265,15,25,12,12,123,5,21,38,47,55,35,94,166,912,,5/13/26 13:56,,1,0,22,22,0,0,0.67
249,,,affective_grid,interview,5/13/26 13:37,"The survey is quite educative, i am lending my opinion, while earning and learning too and it is quite straightforward.",69ff53aeeaa8787df62699f4,1,6,6,5,5,5,5,2,4,5,5,2,4,5,5,4,6,,,,,,6,6,8,3,14,3,21,5,1,6,6,63,4,54,64,65,14,27,73,68,100,17,19,37,48,31,,72,67,710,,5/13/26 13:51,,1,0,22,22,0,0,0.62
250,,,affective_grid,interview,5/13/26 13:37,,65f2ae114ff6eaf05df92566,1,6,5,3,2,6,6,3,5,3,6,2,5,5,2,6,7,,,,,,7,6,11,2,9,2,9,5,1,5,2,10,6,16,60,83,12,9,29,11,19,7,23,31,21,30,,18,4,389,,5/13/26 13:43,,1,0,22,22,4,1,1.13
251,,,affective_grid,interview,5/13/26 13:37,,6a018af5da2203bc59976dcf,1,6,4,5,5,5,5,6,3,6,5,2,5,6,4,5,5,6,6,3,5,6,6,5,7,1,8,1,4,6,1,6,7,3,9,7,24,54,8,9,24,5,11,8,21,19,17,19,18,17,3,276,,5/13/26 13:42,,1,0,22,22,3,1,1.72
252,,,affective_grid,interview,5/13/26 13:37,none,675ef67a1ac1854b97ad3898,1,3,4,6,6,6,5,2,4,6,5,2,3,4,5,7,3,6,7,1,6,7,6,3,10,1,13,4,17,3,1,5,2,48,14,62,86,107,12,13,27,42,46,19,34,31,112,54,73,56,17,853,,5/13/26 13:51,,1,0,22,22,0,0,0.55
253,,,affective_grid,interview,5/13/26 13:37,,66594d5f6f9e287fef4cde8a,1,6,2,6,4,5,6,6,6,3,5,2,1,7,4,6,6,4,3,1,4,3,6,3,8,3,11,2,8,3,1,6,2,24,2,3,54,74,34,8,13,10,18,9,17,14,23,25,29,28,3,388,,5/13/26 13:44,,1,0,22,22,3,1,1.43
254,,,affective_grid,interview,5/13/26 13:37,,6765b43b89ad0ef08204e8ca,1,6,7,7,2,7,7,2,7,5,6,2,6,2,5,7,6,5,5,1,6,5,6,4,9,1,9,1,16,2,1,6,7,5,9,28,63,153,21,16,90,13,26,12,24,34,40,57,38,37,16,682,,5/13/26 13:48,,1,0,22,22,3,1,0.75
255,,,affective_grid,interview,5/13/26 13:37,,6a00e16fa61a8a6bb57bb7ee,1,4,4,5,4,4,4,3,5,1,1,2,1,2,3,3,4,3,2,4,1,5,5,5,3,1,9,4,4,1,1,4,4,5,2,3,3,36,8,1,4,4,2,2,10,8,9,6,7,14,1,125,,5/13/26 13:39,,1,0,22,22,3,1,2.71
256,,,affective_grid,interview,5/13/26 13:37,,69db5ed1a19f0a5161fe96e2,1,7,7,5,5,4,6,6,7,6,5,2,6,6,6,7,6,6,6,3,5,5,3,5,8,3,10,4,5,4,1,7,1,10,10,17,21,38,7,5,28,7,14,11,13,16,16,12,17,20,6,268,,5/13/26 13:42,,1,0,22,22,3,1,1.57
257,,,affective_grid,interview,5/13/26 13:37,,6a0197ed3dcf31a53ee837db,1,4,2,3,1,3,4,2,4,5,3,2,4,2,5,6,4,6,5,6,5,5,6,6,8,1,10,5,5,1,1,6,6,8,2,3,23,78,3,4,6,10,7,5,16,17,13,12,7,19,6,239,,5/13/26 13:41,,1,0,22,22,3,1,2.14
258,,,affective_grid,interview,5/13/26 13:37,No feedback ,69d9f68db438e85e632b41b9,1,6,6,6,6,3,6,5,6,3,4,2,6,2,4,5,5,6,6,3,3,6,6,6,11,1,10,2,21,2,1,6,2,14,28,57,54,138,33,21,83,50,41,50,64,64,115,29,39,26,18,924,,5/13/26 13:53,,1,0,22,22,0,0,0.51
